Symbol,Name
SYNGENE,Syngene International Ltd.
SYRMA,Syrma SGS Technology Ltd.
TCIEXP,TCI Express Ltd.
TCNSBRANDS,TCNS Clothing Co. Ltd.
TDPOWERSYS,TD Power Systems Ltd.
TTKPRESTIG,TTK Prestige Ltd.
TV18BRDCST,TV18 Broadcast Ltd.
TVSMOTOR,TVS Motor Company Ltd.
TVSSCS,TVS Supply Chain Solutions Ltd.
TMB,Tamilnad Mercantile Bank Ltd.
TANLA,Tanla Platforms Ltd.
TARSONS,Tarsons Products Ltd.
TATACHEM,Tata Chemicals Ltd.
TATACOMM,Tata Communications Ltd.
TCS,Tata Consultancy Services Ltd.
TATACONSUM,Tata Consumer Products Ltd.
TATAELXSI,Tata Elxsi Ltd.
TATAINVEST,Tata Investment Corporation Ltd.
TATAMETALI,Tata Metaliks Ltd.
TATAMTRDVR,Tata Motors Ltd DVR
TATAMOTORS,Tata Motors Ltd.
TATAPOWER,Tata Power Co. Ltd.
TATASTEEL,Tata Steel Ltd.
TTML,Tata Teleservices (Maharashtra) Ltd.
TATVA,Tatva Chintan Pharma Chem Ltd.
TEAMLEASE,Teamlease Services Ltd.
TECHM,Tech Mahindra Ltd.
TECHNOE,Techno Electric & Engineering Company Ltd.
TIIL,Technocraft Industries (India) Ltd.
TEGA,Tega Industries Ltd.
TEJASNET,Tejas Networks Ltd.
NIACL,The New India Assurance Company Ltd.
RAMCOCEM,The Ramco Cements Ltd.
THERMAX,Thermax Ltd.
TIRUMALCHM,Thirumalai Chemicals Ltd.
THOMASCOOK,Thomas Cook (India) Ltd.
THYROCARE,Thyrocare Technologies Ltd.
TIDEWATER,Tide Water Oil (India) Ltd.
TI,Tilaknagar Industries Ltd.
TIMETECHNO,Time Technoplast Ltd.
TIMKEN,Timken India Ltd.
TINPLATE,Tinplate Company of India Ltd.
TIPSINDLTD,Tips Industries Ltd.
TITAGARH,Titagarh Rail Systems Ltd.
TITAN,Titan Company Ltd.
TORNTPHARM,Torrent Pharmaceuticals Ltd.
TORNTPOWER,Torrent Power Ltd.
TCI,Transport Corporation of India Ltd.
TRENT,Trent Ltd.
TRIDENT,Trident Ltd.
TRIVENI,Triveni Engineering & Industries Ltd.
TRITURBINE,Triveni Turbine Ltd.
TIINDIA,Tube Investments of India Ltd.
UCOBANK,UCO Bank
UFLEX,UFLEX Ltd.
UNOMINDA,UNO Minda Ltd.
UPL,UPL Ltd.
UTIAMC,UTI Asset Management Company Ltd.
UJJIVAN,Ujjivan Financial Services Ltd.
UJJIVANSFB,Ujjivan Small Finance Bank Ltd.
ULTRACEMCO,UltraTech Cement Ltd.
UNICHEMLAB,Unichem Laboratories Ltd.
UNIONBANK,Union Bank of India
UNIPARTS,Uniparts India Ltd.
UBL,United Breweries Ltd.
MCDOWELL-N,United Spirits Ltd.
USHAMART,Usha Martin Ltd.
VGUARD,V-Guard Industries Ltd.
VMART,V-Mart Retail Ltd.
VIPIND,V.I.P. Industries Ltd.
VSTTILLERS,V.S.T Tillers Tractors Ltd.
VRLLOG,VRL Logistics Ltd.
WABAG,Va Tech Wabag Ltd.
VAIBHAVGBL,Vaibhav Global Ltd.
VTL,Vardhman Textiles Ltd.
VARROC,Varroc Engineering Ltd.
VBL,Varun Beverages Ltd.
MANYAVAR,Vedant Fashions Ltd.
VEDL,Vedanta Ltd.
VENKEYS,Venky's (India) Ltd.
VESUVIUS,Vesuvius India Ltd.
VIJAYA,Vijaya Diagnostic Centre Ltd.
VINATIORGA,Vinati Organics Ltd.
IDEA,Vodafone Idea Ltd.
VOLTAMP,Voltamp Transformers Ltd
VOLTAS,Voltas Ltd.
WELCORP,Welspun Corp Ltd.
WELENT,Welspun Enterprises Ltd.
WELSPUNIND,Welspun India Ltd.
WSTCSTPAPR,West Coast Paper Mills Ltd.
WESTLIFE,Westlife Foodworld Ltd.
WHIRLPOOL,Whirlpool of India Ltd.
WIPRO,Wipro Ltd.
WOCKPHARMA,Wockhardt Ltd.
WONDERLA,Wonderla Holidays Ltd.
YESBANK,Yes Bank Ltd.
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.
ZEEL,Zee Entertainment Enterprises Ltd.
ZENTEC,Zen Technologies Ltd.
ZENSARTECH,Zensar Technolgies Ltd.
ZOMATO,Zomato Ltd.
ZYDUSLIFE,Zydus Lifesciences Ltd.
ZYDUSWELL,Zydus Wellness Ltd.
ECLERX,eClerx Services Ltd.
EMUDHRA,eMudhra Ltd.
